ID,Name,Department,Year,Subjects,SpecialNeeds
STU_001,Grayson Brown,Computer Science,1,"Data Structures",false
STU_002,Evan Thompson,Computer Science,1,"Data Structures",false
STU_003,Olivia Evans,Computer Science,3,"Data Structures",false
STU_004,Flora Garcia,Computer Science,3,"Data Structures",false
STU_005,Ximena Indian,Computer Science,1,"Data Structures",false
STU_006,Graham Kumar,Computer Science,3,"Data Structures",true
STU_007,Finley Roberts,Computer Science,2,"Data Structures",false
STU_008,Celeste Brown,Computer Science,3,"Data Structures",false
STU_009,Nathan Young,Computer Science,2,"Data Structures",false
STU_010,Iris Vasquez,Computer Science,3,"Data Structures",false
STU_011,Iris Vasquez,Computer Science,2,"Data Structures",false
STU_012,Harper Evans,Computer Science,4,"Data Structures",false
STU_013,Iris Miller,Computer Science,1,"Data Structures",false
STU_014,Ximena Underwood,Computer Science,2,"Data Structures",false
STU_015,Tobias Evans,Computer Science,1,"Data Structures",false
STU_016,Celeste Davis,Computer Science,3,"Data Structures",false
STU_017,Taylor Young,Computer Science,3,"Data Structures",false
STU_018,Liam Smith,Computer Science,1,"Data Structures",false
STU_019,Finley Garcia,Computer Science,2,"Data Structures",true
STU_020,Grayson Zhang,Computer Science,2,"Data Structures",false
STU_021,Ursula Smith,Computer Science,1,"Data Structures",false
STU_022,Harper Peterson,Computer Science,1,"Data Structures",false
STU_023,Dana Roberts,Computer Science,4,"Data Structures",false
STU_024,Whitney Walker,Computer Science,1,"Data Structures",false
STU_025,Gregory Underwood,Computer Science,2,"Data Structures",false
STU_026,Bailey Lewis,Computer Science,1,"Data Structures",false
STU_027,Stella Peterson,Computer Science,4,"Data Structures",false
STU_028,Vivian Smith,Computer Science,1,"Data Structures",false
STU_029,Reese Smith,Computer Science,3,"Data Structures",false
STU_030,Logan Zhang,Computer Science,4,"Data Structures",false
STU_031,Vince Johnson,Computer Science,3,"Data Structures",false
STU_032,Alex Brown,Computer Science,2,"Data Structures",false
STU_033,Maya Davis,Computer Science,1,"Data Structures",false
STU_034,Noah Fisher,Computer Science,3,"Data Structures",false
STU_035,Quinn Johnson,Computer Science,2,"Data Structures",false
STU_036,Zoe Walker,Computer Science,4,"Data Structures",false
STU_037,Oscar Lewis,Computer Science,1,"Data Structures",false
STU_038,Harper Young,Computer Science,2,"Data Structures",false
STU_039,Sam Roberts,Computer Science,3,"Data Structures",false
STU_040,Reese Evans,Computer Science,3,"Data Structures",false
STU_041,Celeste Vasquez,Computer Science,2,"Data Structures",false
STU_042,Ezra Walker,Computer Science,4,"Data Structures",false
STU_043,Alex Anderson,Computer Science,1,"Data Structures",false
STU_044,Nora Roberts,Computer Science,3,"Data Structures",false
STU_045,Ximena Walker,Computer Science,2,"Data Structures",false
STU_046,Jordan Smith,Computer Science,1,"Data Structures",false
STU_047,Parker Lewis,Computer Science,2,"Data Structures",false
STU_048,Casey Miller,Computer Science,3,"Data Structures",true
STU_049,Riley Thompson,Computer Science,4,"Data Structures",false
STU_050,Stella Young,Computer Science,2,"Data Structures",false
STU_051,Dominic Garcia,Computer Science,1,"Data Structures",false
STU_052,Whitney Brown,Computer Science,3,"Data Structures",false
STU_053,Kieran Davis,Computer Science,2,"Data Structures",false
STU_054,Lucia Smith,Computer Science,4,"Data Structures",false
STU_055,Marcus Nelson,Computer Science,1,"Data Structures",false
STU_056,Nora Zhang,Computer Science,3,"Data Structures",false
STU_057,Orion Johnson,Computer Science,2,"Data Structures",false
STU_058,Poppy Evans,Computer Science,1,"Data Structures",false
STU_059,Quincy Roberts,Computer Science,4,"Data Structures",false
STU_060,River Walker,Computer Science,2,"Data Structures",false
STU_061,Sage Peterson,Computer Science,3,"Data Structures",true
STU_062,Tobias Young,Computer Science,1,"Data Structures",false
STU_063,Ursula Garcia,Computer Science,2,"Data Structures",false
STU_064,Vaughn Brown,Computer Science,3,"Data Structures",false
STU_065,Wesley Lewis,Computer Science,4,"Data Structures",false
STU_066,Xander Miller,Computer Science,1,"Data Structures",false
STU_067,Yasmin Thompson,Computer Science,2,"Data Structures",false
STU_068,Zachary Smith,Computer Science,3,"Data Structures",false
STU_069,Adrian Underwood,Computer Science,1,"Data Structures",false
STU_070,Blake Vasquez,Computer Science,4,"Data Structures",false
STU_071,Cameron Young,Computer Science,2,"Data Structures",false
STU_072,Dakota Walker,Computer Science,3,"Data Structures",false
STU_073,Elliot Johnson,Computer Science,1,"Data Structures",false
STU_074,Fiona Garcia,Computer Science,2,"Data Structures",false
STU_075,Graham Evans,Computer Science,3,"Data Structures",false
STU_076,Oscar Vasquez,Computer Science,4,"Data Structures",false
STU_077,Evan Roberts,Computer Science,1,"Data Structures",false
STU_078,Graham Roberts,Computer Science,4,"Data Structures",false
STU_079,Dominic Peterson,Computer Science,1,"Data Structures",true
STU_080,Vaughn Garcia,Computer Science,3,"Data Structures",false
